pclass,survival,sex,age,fare,embarked_Queenstown,embarked_Southampton,pclass_sex_interaction
1,1,0,-0.0566319417405785,3.1355489856290597,False,True,0
1,1,1,-2.012378986425107,2.062683358448342,False,True,1
1,0,0,-1.9369369706283552,2.062683358448342,False,True,0
1,0,1,0.013008985255265075,2.062683358448342,False,True,1
1,0,0,-0.3351956497239528,2.062683358448342,False,True,0
1,1,1,1.2665456711804493,-0.1803980157889411,False,True,1
1,1,0,2.311159576118103,0.7421059309395827,False,True,0
1,0,1,0.6397773282178573,-0.6568284708377332,False,True,1
1,1,0,1.6147503061596673,0.2669477516075805,False,True,0
1,0,1,2.8682869920848515,0.23150709388900384,False,False,1
1,0,1,1.1969047441846057,3.4260280147622253,False,False,1
1,1,0,-0.8226821386948578,3.4260280147622253,False,False,0
1,1,0,-0.4048365767197964,0.5867358608634787,False,False,0
1,1,0,-0.2655547227281092,0.7581071901001242,False,True,0
1,1,1,3.495055335047444,-0.11848895738630666,False,True,1
1,0,1,-0.4048365767197964,3.7848457279765624,False,False,1
1,1,0,1.4058275251721364,3.7848457279765624,False,False,0
1,1,0,0.15229083924695222,0.712199459047703,False,False,0
1,0,1,0.4308545472303265,0.6933575204484868,False,False,1
1,1,1,0.5004954742261701,0.28623826340084524,False,True,1
1,1,0,1.1969047441846057,0.28623826340084524,False,True,0
1,1,1,-0.2655547227281092,-0.11848895738630666,False,False,1
1,1,0,0.848700109205388,3.4260280147622253,False,False,0
1,1,0,-0.0566319417405785,3.322921839607073,False,True,0
1,0,1,-0.3351956497239528,-0.1902675591798302,False,False,1
1,1,1,-0.3351956497239528,0.9775559488416947,False,False,1
1,1,0,-0.7530412116990143,0.9775559488416947,False,False,0
1,1,0,0.36121362023448295,1.7770637047672966,False,True,0
1,1,1,-0.12627286873642207,-0.1803980157889411,False,True,1
1,0,1,1.0576228901929186,-0.019793379920211768,False,True,1
1,1,1,0.7094182552137008,-0.10054430693792576,False,False,1
1,1,0,0.013008985255265075,2.301646813295694,False,True,0
1,1,0,1.9629549411388851,-0.1803980157889411,False,True,0
1,0,1,0.848700109205388,-0.1803980157889411,False,True,1
1,1,0,1.0576228901929186,4.051399190556202,False,False,0
1,1,0,-0.5441184307114836,0.3301273038232156,False,True,0
1,0,1,0.7790591822095444,-0.10951663216211621,False,True,1
1,0,1,1.2665456711804493,0.24930100927361842,False,False,1
1,1,0,0.9879819631970751,-0.15938839751039616,False,False,0
1,1,0,2.0325958681347287,0.2669477516075805,False,True,0
1,1,0,2.102236795130572,0.712199459047703,False,False,0
1,1,0,0.7790591822095444,1.7567270144694964,False,False,0
1,0,1,1.0576228901929186,-0.1803980157889411,False,True,1
1,1,1,0.848700109205388,-0.18510846499806055,False,True,1
